EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
ABC TEACHERS LIMITED,"26 Red Lion Square,
London,
England,
WC1R 4HQ",5480764,"78101,
85310",3.7,0.4,89.6,91.2,6.5,1,22.5,77.5,25.8,74.2,22.1,77.9,28.2,71.8,https://www.abc-teachers.co.uk/gender-pay-gap-report,Robert Grimshaw (CEO),1000 to 4999,ABC TEACHERS LIMITED,FALSE
ABELLIO EAST ANGLIA LIMITED,"2nd Floor St Andrew's House,
18-20 St Andrew Street,
London,
United Kingdom,
EC4A 3AG",7861414,49100,20.5,19,-2.2,-10,95.6,92.1,65.9,34.1,69.4,30.6,82.8,17.2,94.5,5.5,https://www.greateranglia.co.uk/gender-pay,Jamie Burles (Managing Director),1000 to 4999,ABELLIO EAST ANGLIA LIMITED,FALSE
Abellio London Ltd,"301 Camberwell New Road,
London,
United Kingdom,
SE5 0TF",3786162,49319,1.8,0.8,-75.8,0,38,29,84.7,15.3,91.1,8.9,92.9,7.1,91.1,8.9,https://www.abellio.co.uk/about-us/,Tony Wilson (Managing Director),1000 to 4999,Abellio London Ltd,FALSE
ABF GRAIN PRODUCTS LIMITED,"Weston Centre, 10 Grosvenor Street,
London,
W1K 4QY",79590,10710,-5.2,-0.1,35.2,-3.3,21.7,37.7,74.1,25.9,87.5,12.5,84,16,77,23,https://www.abf.co.uk/abf-grain-products-ltd-gender-pay-gap-report-2018,Gareth Fendick (Director of Talent and Organisation Development),"5000 to 19,999",ABF GRAIN PRODUCTS LIMITED,FALSE
ABM FACILITY SERVICES SCOTLAND LIMITED,"George House,
75-83 Borough High Street,
London,
United Kingdom,
SE1 1NH",2328842,81100,1.5,1,35.7,42.4,48.2,29.5,50.6,49.4,74.2,25.8,87.3,12.7,79.8,20.2,,Chris Townsend (HR Director),500 to 999,ABM FACILITY SERVICES SCOTLAND LIMITED,FALSE
ABM FACILITY SERVICES UK LIMITED,"George House,
75/83 Borough High Street,
London,
United Kingdom,
SE1 1NH",3461565,81100,0.9,0.7,4.6,10.5,16.2,10.9,62.3,37.7,76.7,23.3,66.8,33.2,68.8,31.2,,Chris Townsend (HR Director),1000 to 4999,ABM FACILITY SERVICES UK LIMITED,FALSE
Academies Enterprise Trust,"3rd Floor 183 Eversholt Street,
London,
United Kingdom,
NW1 1BU",6625091,"1,
85200,
85310,
85320,
85410",25.8,38.3,NA,NA,0,0,13,87,12.4,87.6,29.3,70.7,37.1,62.9,,,"5000 to 19,999",Academies Enterprise Trust,FALSE
ACADEMY MUSIC GROUP LIMITED,"211 Stockwell Road,
London,
United Kingdom,
SW9 9SL",3463738,90040,21,6,62,29,40,45,43,57,37,63,41,59,68,32,https://academymusicgroup.com/content/gender-pay-gap,"Stuart Douglas (Chief Operating Officer, Live Nation UK & Ireland)",250 to 499,ACADEMY MUSIC GROUP LIMITED,FALSE
ACCELERATED EDUCATION TUITION  LIMITED,"V3, Vector Park, Forest Road,
Feltham,
England,
TW13 7EJ",6857560,85200,-30,-0.3,NA,NA,0,0,50,50,37.8,62.2,42.2,57.8,43.3,56.7,https://aetuition.co.uk/gender-pay-gap/,Stephen Curran (MD),250 to 499,ACCELERATED EDUCATION TUITION  LIMITED,FALSE
ACCENTURE (UK) LIMITED,"30 Fenchurch Street,
London,
United Kingdom,
EC3M 3BD",4757301,70229,16.7,10.6,57.9,20.1,61,61.7,54,46,65,35,66,34,72,28,https://www.accenture.com/gb-en/company-news-release-accenture-publishes-latest-uk,Olly Benzecry (Country Managing Director),"5000 to 19,999",ACCENTURE (UK) LIMITED,FALSE
ACCESS SELF STORAGE  LIMITED,"93, Park Lane,
London,
W1K 7TB",5526726,52103,13.9,6.1,9.3,6.6,70,69,55.2,44.8,72.9,27.1,72.6,27.4,77.4,22.6,,Clare Glass (Director),250 to 499,ACCESS SELF STORAGE  LIMITED,FALSE
ACCESSORIZE LIMITED,"1 Nicholas Road,
London,
England,
W11 4AN",9942425,47190,19.5,6.8,93.7,0,12.7,10.7,0,100,3.2,96.8,6,94,5.3,94.7,https://media.monsoon.co.uk/assets/pdf/monsoon/gpg/The-Gender-Pay-Gap-Report-April-2019.pdf,Paul Allen (Chief Executive Officer),1000 to 4999,ACCESSORIZE LIMITED,FALSE
ACCOR UK BUSINESS & LEISURE HOTELS LIMITED,"10 Hammersmith Grove,
London,
England,
W6 7AP",1016187,55100,8.6,4.8,33,28.1,79.3,82.3,43.8,56.2,42.1,57.9,62,38,63.6,36.4,https://d1550xk4f2usak.cloudfront.net/wp-content/uploads/2019/04/29134728/UK-GPG-2018.pdf,Alice Neubert (VP Finance ACCOR UK Business & Leisure Hotels Ltd),1000 to 4999,ACCOR UK BUSINESS & LEISURE HOTELS LIMITED,FALSE
ACCURO FM LTD,"128 Buckingham Palace Road,
London,
SW1W 9SA",3070774,81100,27.8,5.7,53.2,54.5,49.4,26.5,14.4,85.6,13.1,86.9,14.4,85.6,30.3,69.7,http://www.accurofacilities.co.uk/genderpaygap.pdf,Alison Powell (HR Director),250 to 499,ACCURO FM LTD,FALSE
ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY,"Gifford House,
67c St Helier Avenue,
Morden,
United Kingdom,
SM4 6HY",8878185,"84110,
85600,
88990",2.5,2.6,NA,NA,0,0,23,77,20,80,15,85,21,79,https://www.achievingforchildren.org.uk/about-us/freedom-of-information/publication-scheme/who-we-are-and-how-we-work/gender-pay-gap/,Claire Dalaya (HR Data and Reward Manager),1000 to 4999,ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY,FALSE
ACORN LIMITED,"1 Sherman Road,
Bromley,
United Kingdom,
BR1 3JH",4398269,68310,35,28,61,89,77,60,32,68,22,78,49,51,71,29,http://www.acorngroup.co.uk/images/documents/Gender_Pay_Gap_2018.pdf,Hector Stavrinidis (Finance Director),250 to 499,ACORN LIMITED,FALSE
ACTIVE CLEANING CONTRACTORS LIMITED,"Orchard House Orchard Waye,
Uxbridge,
Middlesex,
United Kingdom,
UB8 2BP",4832632,81210,15,2,NA,NA,0,0,30,70,28,72,34,66,50,50,http://www.activeclean.co.uk/,James Manning (Director),250 to 499,ACTIVE CLEANING CONTRACTORS LIMITED,FALSE
Activenewham,"The Old Dispensary 30 Romford Road,
Stratford,
London,
United Kingdom,
E15 4BZ",8030293,"93110,
93130,
93199,
93290",2.2,4.8,26,65.7,0.9,1.6,55.2,44.8,48.3,51.7,44.8,55.2,50,50,http://www.activenewham.org.uk/about-us,Ian Gallagher (Managing Director),250 to 499,Activenewham,TRUE
ACTURIS LIMITED,"Courtyard Suite, 100 Hatton Garden,
London,
EC1N 8NX",3998084,62090,18.8,16.3,55.6,17.4,80.9,78,69.2,30.8,64.1,35.9,75.6,24.4,85.9,14.1,https://www.acturis.com/wp-content/uploads/2019/03/Acturis_Gender_Pay_Gap_Statement-_2018.pdf,David McDonald (Director),250 to 499,ACTURIS LIMITED,FALSE
A-DAY CONSULTANTS LIMITED,"Solar House, 1-9 Romford Road,
London,
England,
E15 4LJ",4493101,78109,33.6,33.8,35.4,44.5,73.9,62.1,20,80,38.5,61.5,52,48,65.4,34.6,https://www.academicsltd.co.uk/docs/Gender-Pay-Gap-Narrative-A-Day-Consultants-Ltd.pdf?v2.3,Claire Tyrrell (Group HR Director),500 to 999,A-DAY CONSULTANTS LIMITED,FALSE
Addaction,"Part Lower Ground Floor, Gate House,
St. John's Square,
London,
England,
EC1M 4DH",2580377,"86900,
87900,
88990",7.6,1.6,-13,1.5,7.3,8.3,25.1,74.9,29.6,70.4,28.8,71.2,29.2,70.8,https://www.addaction.org.uk/sites/default/files/public/attachments/gender_pay_gap_report_2019_v6.pdf,Mike Dixon (Chief Executive),1000 to 4999,Addaction,FALSE
ADDISON LEE LIMITED,"The Point,
37 North Wharf Road,
London,
England,
W2 1AF",1205530,"49320,
53201",0,-17,40,30,20,41,75.9,24.1,81.3,18.7,72.4,27.6,73.1,26.9,https://www.addisonlee.com/addlib/addison-lees-gender-pay-gap-report/,Simon Gordon (Chief Financial Officer),1000 to 4999,ADDISON LEE LIMITED,FALSE
ADECCO UK LIMITED,"Millennium Bridge House,
2 Lambeth Hill,
London,
United Kingdom,
EC4V 4BG",593232,78200,-8.3,1.1,-97,-42,29.4,30.7,56.7,43.3,56.8,43.2,61.3,38.7,53.9,46.1,https://www.adecco.co.uk/gender-pay-gap,"Richard Thompson (Regional Head of HR, UNAM)","5000 to 19,999",ADECCO UK LIMITED,FALSE
ADELIE FOODS LIMITED,"2 The Square,
Southall Lane,
Heathrow,
United Kingdom,
UB2 5NH",4272608,10890,9.4,9.1,19,50,0.9,0.7,40.8,59.2,59.8,40.2,65.5,34.5,69.9,30.1,,Meirion Gravell (Group HR Director),1000 to 4999,ADELIE FOODS LIMITED,FALSE
ADIL CATERING LIMITED,"34-36 London Road,
Wembley,
Middlesex,
United Kingdom,
HA9 7EX",1723893,"56102,
56103",5,0,NA,NA,0,0,38.8,61.2,47,53,53,47,56.7,43.3,,Michele T (Payroll Dept),250 to 499,ADIL CATERING LIMITED,FALSE
ADM MILLING LIMITED,"Adm International Limited,
Church Manorway,
Erith Kent,
United Kingdom,
DA8 1DL",2445197,10611,11.4,13.5,81.7,43.3,5.3,1.4,70,30,90,10,90,10,85,15,https://www.4flour.co.uk/app/uploads/2019/03/ADM-Milling-Gender-Pay-Gap-Report-April-2018.pdf,Tim Cook (Managing Director),250 to 499,ADM MILLING LIMITED,FALSE
ADMIRAL RECRUITMENT LIMITED,"Third Floor 24 Chiswell Street,,
London,
EC1Y 4YX",3097389,82990,2.4,-4.4,44.2,66.1,9,12,67.7,32.3,48.3,51.7,64.7,35.3,58.1,41.9,,Alakbar Akbarov (Financial Controller),250 to 499,ADMIRAL RECRUITMENT LIMITED,FALSE
Advanced Travel Partners UK Ltd,"Space One, 6th Floor 1 Beadon Road,
Hammersmith Broadway,
London,
United Kingdom,
W6 0EA",2515255,79110,19.9,25.8,0,0,0,0,13,87,10,90,17,83,37,63,,Peter Farrow (UK Head of Human Resources),250 to 499,Advanced Travel Partners UK Ltd,FALSE
ADVINIA CARE HOMES  LIMITED,"Edelman House 1238 High Road, Whetstone,
London,
United Kingdom,
N20 0LH",10881242,87100,-0.5,5.1,77.8,-33.3,0.3,0.1,15,85,15,85,15,85,15,85,,Joe Genova (Finance Director),1000 to 4999,ADVINIA CARE HOMES  LIMITED,FALSE
ADVINIA HEALTH CARE  LIMITED,"Edelman House 1238 High Road, Whetstone,
London,
N20 0LH",3446822,86900,27.3,11.4,-9,-52.9,2.2,3.3,14.6,85.4,14.7,85.3,14.6,85.4,14.6,85.4,,Joe Genova (Finance Director),500 to 999,ADVINIA HEALTH CARE  LIMITED,FALSE
"Advisory, Conciliation and Arbitration Service","Euston Tower,
London,
London,
United Kingdom,
NW1 3JJ",,1,4.4,0,-3.6,0.5,88,87,44.1,55.9,40.3,59.7,38.4,61.6,42.9,57.1,http://www.acas.org.uk/index.aspx?articleid=5985,,500 to 999,"Advisory, Conciliation and Arbitration Service",FALSE
AECOM LIMITED,"St George's House,
5 St. George's Road,
Wimbledon,
London,
England,
SW19 4DR",1846493,71122,20.6,20.6,27,56,18,18,64,36,64,36,73,27,84,16,http://publications.aecom.com/media/files/gender_pay_gap/2019/AECOM_gender-pay-gap-report-uk-ireland.pdf,"David Barwell (Chief Executive, UK & Ireland)",1000 to 4999,AECOM LIMITED,FALSE
AETNA GLOBAL BENEFITS (UK) LIMITED,"50 Cannon Street,
London,
England,
EC4N 6JJ",3554885,65120,43.3,36.4,85.6,51.7,90.4,87.1,35,65,34,66,53,47,68,32,https://www.aetnainternational.com/en/about-us/legal-notices.html,Richard di Benedetto (President),250 to 499,AETNA GLOBAL BENEFITS (UK) LIMITED,FALSE
AFH STORES UK LIMITED,"1 Old Burlington Street,
2nd Floor,
London,
United Kingdom,
W1S 3AD",6423604,47710,5.5,7.9,50,0,21.9,19.9,28.7,71.3,31.3,68.7,35,65,38.7,61.3,https://www.abercrombie.com/anf/files/gender_pay_gap.pdf,Anna Mollerstrom (UK A&F Entity Director),1000 to 4999,AFH STORES UK LIMITED,FALSE
AG SERVICE COMPANY LIMITED,"Milton Gate,
60 Chiswell Street,
London,
United Kingdom,
EC1Y 4AG",7299444,82990,19.8,18.9,41,35,56,53,28,72,25,75,42,58,46,54,,Niki Lawson (HR Director),1000 to 4999,AG SERVICE COMPANY LIMITED,FALSE
Age UK,"Tavis House,
1 - 6 Tavistock Square,
London,
United Kingdom,
WC1H 9NA",6825798,87300,11,16,-21,-27,1,5,19,81,25,75,26,74,35,65,,Steph Harland (CEO),500 to 999,Age UK,FALSE
Age UK Trading Cic,"Tavis House,
1 - 6 Tavistock Square,
London,
United Kingdom,
WC1H 9NA",1102972,82990,24,4,-13,0,5,6,23,77,21,79,14,86,33,67,,Steph Harland (CEO),1000 to 4999,Age UK Trading Cic,FALSE
AGILISYS CONTACT SERVICES LIMITED,"Third Floor One Hammersmith Broadway,
Hammersmith,
London,
United Kingdom,
W6 9DL",4288680,82200,15.1,12.7,6.1,0,27.5,18.5,19,81,28,72,35,65,48,52,https://www.agilisys.co.uk/sites/default/files/file/2019-04/Agilisys_Gender_Pay_Gap_Report_18.pdf,Claire Spurdell (Head of HR Business Partnering),250 to 499,AGILISYS CONTACT SERVICES LIMITED,FALSE
AGILISYS LIMITED,"Third Floor One Hammersmith Broadway,
Hammersmith,
London,
United Kingdom,
W6 9DL",4327369,"58290,
62090,
70229",29,39.1,65.9,0,40.4,17.7,31,69,30,70,65,35,76,24,https://www.agilisys.co.uk/sites/default/files/file/2019-04/Agilisys_Gender_Pay_Gap_Report_18.pdf,Claire Spurdell (Head of HR Business Partnering),250 to 499,AGILISYS LIMITED,FALSE
AGILISYS MANAGED SERVICES LIMITED,"Third Floor One Hammersmith Broadway, Hammersmith,
London,
United Kingdom,
W6 9DL",4298949,62090,16,10.6,49.5,26.5,51.1,40,85,15,87,13,89,11,93,7,https://www.agilisys.co.uk/sites/default/files/file/2019-04/Agilisys_Gender_Pay_Gap_Report_18.pdf,Claire Spurdell (Head of HR Business Partnering),250 to 499,AGILISYS MANAGED SERVICES LIMITED,FALSE
AGILISYS PROFESSIONAL SERVICES LIMITED,"Third Floor One Hammersmith Broadway, Hammersmith,
London,
United Kingdom,
W6 9DL",3571098,"62020,
62090,
63110",33.8,38.9,68,33,71.3,60,56,44,41,59,53,47,91,9,https://www.agilisys.co.uk/sites/default/files/file/2019-04/Agilisys_Gender_Pay_Gap_Report_18.pdf,Claire Spurdell (Head of HR Business Partnering),Less than 250,AGILISYS PROFESSIONAL SERVICES LIMITED,FALSE
AGILITY LOGISTICS LIMITED,"Unit 6 North Radius Park Faggs Road,
Feltham,
Middlesex,
United Kingdom,
TW14 0NG",112456,52290,26.9,11.1,62.6,59.2,14.5,6,59,41,49,51,50,50,84,16,,Hitesh Nathwani (CFO),250 to 499,AGILITY LOGISTICS LIMITED,FALSE
AGMAN HOLDINGS LIMITED,"3 London Bridge Street,
London,
United Kingdom,
SE1 9SG",3901524,"64209,
78300",41,35,87,57,49,39,44,56,57,43,69,31,84,16,http://www.edfman.com/csr#csr-policies,Stuart Reed (Chief People Officer),250 to 499,AGMAN HOLDINGS LIMITED,FALSE
AH UK ANIMAL HEALTH (PVT) LTD,"18 Stanhope Place,
London,
England,
W2 2HH",2579457,46900,25,12,48,25,85,90,49,51,54,46,49,51,67,33,,Helen Kaye (Vice President Human Resources),1000 to 4999,AH UK ANIMAL HEALTH (PVT) LTD,FALSE
AIG EUROPE LIMITED,"The Aig Building, 58 Fenchurch Street,
London,
EC3M 4AB",1486260,65120,27,32,51,50,90,91,46,54,50,50,65,35,76,24,https://www.aig.co.uk/content/dam/aig/emea/united-kingdom/documents/aig-paygap-report-2018-aig.pdf,"Trudi Johnson (Head of HR, UK)",1000 to 4999,AIG EUROPE LIMITED,FALSE
AIG LIFE LIMITED,"The Aig Building, 58 Fenchurch Street,
London,
EC3M 4AB",6367921,65110,-4,-4,27,-2,78,85,63,37,55,45,49,51,59,41,https://www.aiglife.co.uk/intermediaries/news/aig-paygap-report-2018,Laura Young (Head of HR),250 to 499,AIG LIFE LIMITED,FALSE
AIM COMMERCIAL CLEANING LIMITED,"12 Hatherley Road,
Sidcup,
Kent,
United Kingdom,
DA14 4DT",1427132,81210,3.6,0,-19.1,-50,1.9,2,34.7,65.3,30.2,69.8,39.2,60.8,43.1,56.9,,Andrew Sullivan (Finance Director),1000 to 4999,AIM COMMERCIAL CLEANING LIMITED,FALSE
AIRWAVE SOLUTIONS LIMITED,"Nova South,
160 Victoria Street,
London,
United Kingdom,
SW1E 5LB",3985643,61900,23.1,18,47.1,56.1,91.3,91.1,61.5,38.5,85.3,14.7,83.7,16.3,91.5,8.5,https://www.motorolasolutions.com/content/dam/msi/docs/about-us/cr/uk-gender-pay-gap-report.pdf,"Vincent Kennedy (AVP, General Manager UK Services)",500 to 999,AIRWAVE SOLUTIONS LIMITED,FALSE
AITCH CARE HOMES (LONDON) LIMITED,"Unit 6 & 7 Princeton Mews,
167-169 London Road,
Kingston Upon Thames,
Surrey,
United Kingdom,
KT2 6PT",5016149,82990,-2.4,0,-66,-10,11.3,7.5,23.1,76.9,29.9,70.1,25.9,74.1,27,73,https://www.regard.co.uk/,Moira Bennett-Jevons (HR Manager),500 to 999,AITCH CARE HOMES (LONDON) LIMITED,FALSE
AKER SOLUTIONS LIMITED,"Building 6 Chiswick Park,
566 Chiswick High Road,
London,
United Kingdom,
W4 5HR",4977339,28990,19.9,23.9,10.9,14.9,11.3,16.7,70.3,29.7,87.3,12.7,87.9,12.1,92.4,7.6,https://akersolutions.com/globalassets/cr/downloads/gender_pay_gap_report_2018.pdf,Sian Lloyd Rees (UK Country Manager),1000 to 4999,AKER SOLUTIONS LIMITED,FALSE
AKQA LIMITED,"1 St John's Lane,
London,
United Kingdom,
EC1M 4BL",2964394,73110,24.7,21.6,0,0,0,0,58,42,46,54,66,34,68,32,https://www.akqa.com/ukgenderpay/,Ron Peterson (Managing Director),Less than 250,AKQA LIMITED,FALSE
AKT II  LIMITED,"White Collar Factory, 1 Old Street Yard,
London,
England,
EC1Y 8AF",7500271,71122,22.4,19,39.4,34.8,96.3,96,71,29,64.6,35.4,81.6,18.4,91,9,https://akt-uk.com/gender%20balance%20report,Gary Davison (Legal Director & Company Secretary),250 to 499,AKT II  LIMITED,FALSE
ALARABY TELEVISION NETWORK LIMITED,"Units 4 & 5 Central Park,
Central Way,
London,
England,
NW10 7FY",8680549,60200,5.4,0.7,60.7,28.2,2.6,3,74.2,25.8,75.4,24.6,69.7,30.3,80,20,,Alice Bainton (General Counsel),250 to 499,ALARABY TELEVISION NETWORK LIMITED,FALSE
ALDERFORCE LIMITED,"34-36 London Road,
Wembley,
Middlesex,
United Kingdom,
HA9 7EX",4971534,56102,-0.3,0,NA,NA,0,0,53.8,46.2,57.1,42.9,62.9,37.1,61.3,38.7,,Michele T (Payroll Dept),250 to 499,ALDERFORCE LIMITED,FALSE
ALDERFORCE NORTH LIMITED,"34-36 London Road,
Wembley,
Middlesex,
United Kingdom,
HA9 7EX",7160663,56102,-2.8,0,NA,NA,0,0,48.9,51.1,39.2,60.8,38.1,61.9,41.2,58.8,,Michele T (Payroll Dept),500 to 999,ALDERFORCE NORTH LIMITED,FALSE
ALDERFORCE SC LIMITED,"34 - 36 London Road,
Wembley,
Middlesex,
United Kingdom,
HA9 7EX",8932017,56102,1.8,0,NA,NA,0,0,49.5,50.5,51,49,52.1,47.9,48.5,51.5,,Michele T (Payroll Dept),250 to 499,ALDERFORCE SC LIMITED,FALSE
ALDO UK LIMITED,"4 Bedford Row,
London,
United Kingdom,
WC1R 4TF",4256560,47721,16.4,1,46.3,45.4,24,27,39.3,60.7,36.1,63.9,34.9,65.1,48.2,51.8,,Catherine Ross (General Counsel and Vice President Human Resources),250 to 499,ALDO UK LIMITED,TRUE
Aldridge Education,"8 City Road,
London,
England,
EC1Y 2AA",5670663,"1,
85200,
85310,
85320,
85410",19.5,31.6,NA,NA,0,0,26.2,73.8,30,70,33.8,66.2,44.3,55.7,,,500 to 999,Aldridge Education,TRUE
ALEXANDER MANN SOLUTIONS LIMITED,"7 Bishopsgate,
London,
United Kingdom,
EC2N 3AQ",2073305,78300,8.7,7.9,17.3,7.6,75,76,37,63,26,74,36,64,38,62,http://alexandermannsolutions.com/about-alexander-mann-solutions/our-commitment/gender-balance,Sandy Lucas (Chief People Officer and Director of Operations),1000 to 4999,ALEXANDER MANN SOLUTIONS LIMITED,FALSE
ALFA FINANCIAL SOFTWARE LIMITED,"Moor Place, 1 Fore Street Avenue,
London,
United Kingdom,
EC2Y 9DT",2482325,62020,13.1,14.6,19.9,5.8,68,73.5,66,34,88,12,78,22,81,19,https://www.alfasystems.com/eu/media/gender-pay-gap-report-2018,vivienne maclachlan (CFO),Less than 250,ALFA FINANCIAL SOFTWARE LIMITED,FALSE
ALHCO GROUP LIMITED,"467 Rayners Lane,
Pinner,
England,
HA5 5ET",6842801,"64209,
96090",33.8,41.2,56.3,71.4,9.9,21.2,43.1,56.9,86.2,13.8,96.9,3.1,98.4,1.6,https://saltire.co.uk/,David Weston (Finance Director),250 to 499,ALHCO GROUP LIMITED,FALSE
ALIXPARTNERS UK LLP,"6, New Street Square,
London,
England,
EC4A 3BF",OC360308,,31.3,33.5,44.1,47.4,94,91,51,49,57,43,63,37,65,35,https://emarketing.alixpartners.com/rs/emsimages/2019/Pubs/ALL/AP_UK_Gender_Pay_Gap_5Apr_2019.pdf,"Paul Thompson (Managing Director, Head of Operations for EMEA)",250 to 499,ALIXPARTNERS UK LLP,FALSE
ALL CARE (GB) LIMITED,"3rd Floor Quest House,
125 - 135 Staines Road,
Hounslow,
United Kingdom,
TW3 3JB",5100341,"82990,
87300",-3.6,-0.5,-2.1,-33.3,12.8,10.8,13,87,11.8,88.2,13,87,13,87,,LISA COLE (HEAD OF PAYROLL RECRUITMENT),250 to 499,ALL CARE (GB) LIMITED,FALSE
